咖啡, 羔丕, Ko-pî, L1, 汕頭話讀本
味道, 味素, Bī-sōu, L0, 汕頭話讀本
蛋糕, 粿|餜, Kúe, L0, 汕頭話讀本|考釋
果醬, 甜糕, Tiâm-ko, L1, 汕頭話讀本
黃油, 牛乳油, Gû-nĩⁿ-iû, L0, 汕頭話讀本
蛋, 卵, Nñg, L0, 汕頭話讀本
粥, 糜, Mûeⁿ|Mûe, L0, 汕頭話讀本|考釋
米湯, 飲, Ám, L0, 汕頭話讀本|考釋
咖喱, 咖喱|膠離, Ka-lî, L0, 汕頭話讀本|考釋
粉, 末, Buáh, L0, 汕頭話讀本
芥末, 芥辣, Kài-luáh, L0, 汕頭話讀本
溫開水, 燒水, Sie-tsui, L0, 汕頭話讀本
穀倉, 粟倉, Chhek-tshng, L1, 汕頭話讀本
香腸, 灌腸, Kuàn-tn̂g, L1, 汕頭話讀本|考釋
蛋白, 卵淸, Nñg-chheng, L0, 汕頭話讀本
蛋黃, 卵仁, Nñg-jîn, L0, 汕頭話讀本
腐爛, 縻, Mîⁿ, L0, 汕頭話讀本
豐盛, 滂沛|霶霈, Phâng-phài, L0, 汕頭話讀本|考釋
脆, 酥, Sou, L0, 汕頭話讀本
切, 截, Tsoíh, L0, 汕頭話讀本
挖, 扭, Liú, L0, 汕頭話讀本
剷, 掘, Kút, L0, 汕頭話讀本
削, 批, Phoi, L0, 汕頭話讀本
切, 割, Kuah, L0, 汕頭話讀本
斬, 剁, Tok, L0, 汕頭話讀本
殺, 刣, Thâi, L0, 汕頭話讀本
剁碎, 剁脞|剁莝, Tok-tshō, L0, 汕頭話讀本|考釋
炸, 浮, Phû, L0, 汕頭話讀本
蒸, 翕, Hip, L0, 汕頭話讀本
蒸, 炊, Tshue, L0, 汕頭話讀本|考釋, ~魚
烤(肉), 𤇢, Pek, L0, 汕頭話讀本
烤(麵包), 焙, Pūe, L0, 汕頭話讀本
嚐, 試, Chhì, L0, 汕頭話讀本
蘸, 煴, Ùn, L0, 汕頭話讀本
曬, 曝, Phák, L0, 汕頭話讀本
咀嚼, 哺, Pōu, L0, 汕頭話讀本|考釋
浪費, 荒喪, Tak-nn̄g, L0, 汕頭話讀本
斷奶, 隔乳, Keh-nĩⁿ, L0, 汕頭話讀本
生, 腥, Chheⁿ, L0, 汕頭話讀本
飢餓, 肚困, Tóu khùn, L0, 汕頭話讀本
飢餓, 枵, Iou, L0, 汕頭話讀本|考釋
稀粥, 淖糜, chhieh-mûe, L0, 考釋
瘦肉, 腈肉, Chiaⁿ-ne̍k, L0, 考釋
瘦肉, 赤肉, Chhiah-ne̍k, L0, 考釋
肥肉, 白肉, Pe̍h-ne̍k, L0, 考釋
裏脊肉, 脢肉, Bûe-ne̍k, L0, 考釋
豬頭肉, 槽頭肉, Tsô-thâu-ne̍k, L0, 考釋
肉末, 肉脞, ne̍k-tshō, L0, 考釋
開水, 滾水, Kún-tsui, L0, 考釋
泔水, 潘, phun, L0, 考釋
(味)淡, 䭕, Chiáⁿ, L0, 考釋
(液體味道)淡, 薄, po̍h, L0, 考釋
香, 芳, Phang, L0, 考釋
腥, 臊, tsho, L0, 考釋
吃葷, 食臊, Chiáh-tsho, L0, 考釋
(肉)變質, 蔫, iang, L0, 考釋
渾濁, 醪, lô, L0, 考釋
黏稠, 滒, ko, L0, 考釋
買菜, 買配, Búe-phùe, L0,
吮吸, 欶, Suh, L0, 考釋
(貪)吃, 𩛌(U+296CC)|䭄|嗜, Chì, L1, 考釋
飲(酒), 啉, Lim, L1, 考釋
蒸, 熇, hoh, L1, 考釋
水煮, 煠, Sa̍h, L1, 考釋
烙, 烙, luah, L1, 考釋, 蠔~
燜, 熻, hip, L1, 考釋, ~地豆
燒火, 煆火, Hiâⁿ-húe, L0, 考釋
烤, 煏, pek, L1, 考釋, ~鰇魚
撒, 撒, suah, L0, 考釋, ~鹽
醬油, 豉油, Sī-iû, L0, 汕頭話讀本
