布匹, 布疋, Pòu-phit, L0, 汕頭話讀本
布匹, 布路, Pòu-lōu, L0, 汕頭話讀本
毛呢, 呢|𦮴(U+26BB4), Nîⁿ, L0, 汕頭話讀本
粗花呢, 水呢|水𦮴(U+26BB4), Tsúi-nîⁿ, L1, 汕頭話讀本
絨, 絨, Zông, L0, 汕頭話讀本
夏布, 熱布, Zuáh-pòu, L1, 汕頭話讀本
印花棉布, 花布, Hue-pòu, L0, 汕頭話讀本
縐布, 皺紗, Jiòu-se, L0, 汕頭話讀本
鑽石, 鏇, Suān, L2, 汕頭話讀本
黃銅, 紅銅, Âng-tâng, L1, 汕頭話讀本
打火石, 火石, Húe-chiéh, L0, 汕頭話讀本
硝石, 鹽硝, Iám-siou, L0, 汕頭話讀本
硝石, 硝, Siou, L0, 汕頭話讀本
明礬, 白𥐥|白矾, Péh-huân, L0, 汕頭話讀本
綠礬, 生𥐥|生矾, Chheⁿ-huân, L0, 汕頭話讀本
鐵屑, 鐵碎, Thih-tshùi, L0, 汕頭話讀本
鐵棒, 鐵棍, Thih-kùn, L0, 汕頭話讀本
銅板, 銅薄, Tâng-póh, L0, 汕頭話讀本
錫箔, 錫薄, Siah-póh, L0, 汕頭話讀本
假花, 紙花, Tsúa-hue, L0, 汕頭話讀本
檳榔, 荖枳, Láu-chí, L1, 汕頭話讀本
檳榔葉, 荖葉, Láu-hiéh, L1, 汕頭話讀本
檳榔膏, 甘蜜, Kam-bít, L1, 汕頭話讀本
樟腦, 樟栳, Chieⁿ-ló, L0, 汕頭話讀本
樟腦, 樟柴, Chieⁿ-tshâ, L0, 汕頭話讀本
肉桂, 桂皮, Kùi-phûe, L0, 汕頭話讀本
蜜餞, 物食, Muéh-chiáh, L0, 汕頭話讀本
珊瑚, 仙瑚, Sien-hû, L0, 汕頭話讀本
珊瑚, 珊瑚, San-hû, L0, 汕頭話讀本
瓷, 𦈢, Hûi, L0, 汕頭話讀本
爆竹, 碰鰾, Phòng-phiẽ, L1, 汕頭話讀本
染料, 色料, Sek-liōu, L0, 汕頭話讀本
雞毛撣子, 雞毛筅, Koi-môⁿ-tshóiⁿ, L0, 汕頭話讀本
橡膠, 樹泥, Chhiū-nîⁿ, L0, 汕頭話讀本
珍珠, 蠔珠, Ô-tsu, L0, 汕頭話讀本
珍珠母, 蠔壳鏡, Ô-khak-kiàⁿ, L0, 汕頭話讀本
木板, 枋, Pang, L0, 汕頭話讀本
鑲金器, 鎦金器, Liū-kim-khì, L0, 汕頭話讀本
火箭, 火#, Húe-súh, L1, 汕頭話讀本
檀香木, 香柴, Hioⁿ-tshâ, L1, 汕頭話讀本
海藻, 燕菜, Ièn-tshài, L1, 汕頭話讀本
魚翅, 魚翼, Hṳ̂-sít, L0, 汕頭話讀本
紙捻, 紙煤, Tsúa-bûe, L0, 汕頭話讀本
紅糖, 赤糖, Chhiah-thn̂g, L0, 汕頭話讀本
黑糖, 烏糖, Ou-thn̂g, L0, 汕頭話讀本
原木, 大柴, Tūa-tshâ, L0, 汕頭話讀本
賬本, 數簿, Siòu-phõu, L1, 汕頭話讀本
總賬, 總簿, Tsóng-phõu, L1, 汕頭話讀本
分類賬, 來往, Lâi-uáng, L2, 汕頭話讀本
庫存分類賬, 歸原, Kui-nguân, L2, 汕頭話讀本
日記本, 日清, Jít-chheng, L2, 汕頭話讀本
算賬, 算數, Sńg-siòu, L0, 汕頭話讀本
收賬, 收數, Siu-siòu, L0, 汕頭話讀本
收款, 來銀, Lái-ngṳ̂n, L1, 汕頭話讀本
入賬, 記數, Kì-siòu, L0, 汕頭話讀本
入賬, 上數, Chiẽⁿ-siòu, L0, 汕頭話讀本
轉賬, 盤數, Pûaⁿ-siòu, L2, 汕頭話讀本
開賬, 開單, Khui-tuaⁿ, L0, 汕頭話讀本
收據, 收單, Siu-tuaⁿ, L1, 汕頭話讀本
會面, 面會, Mīn-hũe, L0, 汕頭話讀本
總計, 計共, Kòi-kāng, L0, 汕頭話讀本
加, 算摩, Sǹg-bûa, L1, 汕頭話讀本
減, 除, Tṳ̂, L0, 汕頭話讀本
乘, 乘, Sên, L0, 汕頭話讀本
除, 分, Pun, L0, 汕頭話讀本
收銀員, 掌櫃, Chiáng-kūiⁿ, L2, 汕頭話讀本
會計, 財副, Tshâi-hù, L2, 汕頭話讀本
首席會計, 大財副, Tūa-tshái-hù, L2, 汕頭話讀本
好賺, 好趁|好贃, Hó-thàn, L0, 汕頭話讀本
